Image_name, Correct features, Localization error, Time (ms), Size
../img_surf_dataset/scene_44.jpeg,0,0,173,638:478
../img_surf_dataset/scene_45.jpeg,0,0,1623,717:957
../img_surf_dataset/scene_12.jpeg,0.987097,70.7059,806,1276:956
../img_surf_dataset/scene_53.jpeg,1,75.9805,686,1595:1195
../img_surf_dataset/scene_28.jpeg,0.259259,118.429,278,1434:1914
../img_surf_dataset/scene_90.jpeg,0.946667,73.8592,328,638:478
../img_surf_dataset/scene_69.jpeg,0,0,3692,957:717
../img_surf_dataset/scene_86.jpeg,0.978495,76.9286,666,956:1276
../img_surf_dataset/scene_49.jpeg,0,0,279,652:761
../img_surf_dataset/scene_24.jpeg,0.950495,81.3021,1771,1914:1434
../img_surf_dataset/scene_73.jpeg,0,0,532,957:717
../img_surf_dataset/scene_65.jpeg,0.974684,72.6299,1244,1276:956
../img_surf_dataset/scene_103.jpeg,0.979381,90.0842,458,1195:1595
