Image_name, Correct features, Localization error, Time (ms), Size
../img_brisk_dataset/IMAGE 2020-10-04 20:35:57.jpg,0,0,66,1440:1920
../img_brisk_dataset/IMAGE 2020-10-05 18:45:06.jpg,0,0,261,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:40:22.jpg,1,82.7083,43,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 18:39:52.jpg,0.972477,72.1604,115,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 18:39:46.jpg,0.924731,66.3953,73,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 20:24:12.jpg,0.863014,78.4444,36,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:42:26.jpg,0.863636,70.4737,43,960:720
../img_brisk_dataset/IMAGE 2020-10-04 20:36:13.jpg,0,0,117,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 20:35:42.jpg,0.970149,76.0154,111,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 19:06:01.jpg,0,0,68,1440:1920
../img_brisk_dataset/IMAGE 2020-10-04 19:45:46.jpg,0,0,121,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:40:12.jpg,0.840909,77.2432,45,960:720
../img_brisk_dataset/IMAGE 2020-10-04 20:16:47.jpg,0,0,95,1600:1200
../img_brisk_dataset/IMAGE 2020-10-04 20:24:22.jpg,1,72.4737,58,1440:1920
../img_brisk_dataset/IMAGE 2020-10-04 21:58:00.jpg,0.173913,98.75,41,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:42:16.jpg,0.957747,72.9559,329,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 21:57:51.jpg,0.99187,75.0984,131,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 18:52:13.jpg,0.962025,66.5,743,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 21:57:53.jpg,0,0,12,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:45:09.jpg,0.714286,67.7,413,960:720
../img_brisk_dataset/IMAGE 2020-10-05 18:42:28.jpg,0.75,46.6667,1634,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 20:16:44.jpg,0,0,77,1600:1200
../img_brisk_dataset/IMAGE 2020-10-04 21:58:02.jpg,0,0,128,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 20:11:59.jpg,0,0,31,480:640
../img_brisk_dataset/IMAGE 2020-10-04 20:24:09.jpg,0,0,17,960:720
../img_brisk_dataset/IMAGE 2020-10-04 20:24:35.jpg,0,0,124,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 20:24:20.jpg,0.985507,76,46,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 18:39:48.jpg,0,0,1133,1920:1440
../img_brisk_dataset/IMAGE 2020-10-05 18:40:10.jpg,0.933333,87.2857,36,640:480
../img_brisk_dataset/IMAGE 2020-10-04 19:45:44.jpg,0.884615,85.9565,54,960:720
../img_brisk_dataset/IMAGE 2020-10-04 20:35:59.jpg,0.354839,81.0909,34,960:1280
../img_brisk_dataset/IMAGE 2020-10-05 18:52:28.jpg,0.9,75.7778,234,1600:1200
../img_brisk_dataset/IMAGE 2020-10-04 21:57:56.jpg,0.924528,80.2653,64,1920:1440
../img_brisk_dataset/IMAGE 2020-10-05 18:42:11.jpg,0,0,30,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:40:14.jpg,1,70.938,69,960:720
../img_brisk_dataset/IMAGE 2020-10-04 19:47:51.jpg,0.916667,76.4773,120,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 21:58:07.jpg,0,0,30,1600:1346
../img_brisk_dataset/IMAGE 2020-10-05 18:37:49.jpg,0.25,58,109,1440:1920
../img_brisk_dataset/IMAGE 2020-10-04 20:24:18.jpg,0,0,34,640:480
../img_brisk_dataset/IMAGE 2020-10-04 20:24:25.jpg,0.857143,76.8889,28,960:720
../img_brisk_dataset/IMAGE 2020-10-05 18:44:59.jpg,0.9,65.4722,668,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 18:40:01.jpg,0.974684,75.6753,136,1200:1600
../img_brisk_dataset/IMAGE 2020-10-05 18:52:15.jpg,0,0,160,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:52:17.jpg,0.0625,93,352,960:720
../img_brisk_dataset/IMAGE 2020-10-04 21:57:55.jpg,0,0,48,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 18:40:03.jpg,0.981132,69.6538,164,1200:1600
../img_brisk_dataset/IMAGE 2020-10-04 20:16:42.jpg,0.991667,70.1681,94,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 20:24:27.jpg,0,0,18,640:554
../img_brisk_dataset/IMAGE 2020-10-04 20:24:33.jpg,0.885714,88.6452,60,960:720
../img_brisk_dataset/IMAGE 2020-10-05 18:50:13.jpg,0.5,41.5,1090,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 18:40:16.jpg,0.851064,75.9,55,1920:1440
../img_brisk_dataset/IMAGE 2020-10-05 18:42:13.jpg,0.73913,83.4118,55,640:480
../img_brisk_dataset/IMAGE 2020-10-04 22:11:52.jpg,0,0,72,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 19:06:53.jpg,0.761905,64.5,802,1200:1600
../img_brisk_dataset/IMAGE 2020-10-04 22:12:03.jpg,0.833333,72.26,78,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 21:57:27.jpg,0,0,14,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:44:15.jpg,0.98,68.5102,52,960:720
../img_brisk_dataset/IMAGE 2020-10-05 18:43:20.jpg,0.947368,70.7222,422,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 21:57:26.jpg,1,76.3475,65,1600:1200
../img_brisk_dataset/IMAGE 2020-10-04 21:57:32.jpg,1,83,41,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 22:12:16.jpg,0,0,36,480:640
../img_brisk_dataset/IMAGE 2020-10-04 22:12:02.jpg,0,0,47,960:720
../img_brisk_dataset/IMAGE 2020-10-04 20:35:39.jpg,0,0,86,1280:871
../img_brisk_dataset/IMAGE 2020-10-05 19:06:46.jpg,0.814815,73.7273,86,1200:1600
../img_brisk_dataset/IMAGE 2020-10-05 18:52:58.jpg,1,63.969,353,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 22:11:53.jpg,0.921569,83.5319,42,640:480
../img_brisk_dataset/IMAGE 2020-10-04 22:12:00.jpg,0.0961538,96,53,960:720
../img_brisk_dataset/IMAGE 2020-10-04 21:57:30.jpg,0.117647,132,23,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 18:44:16.jpg,0,0,53,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 18:43:22.jpg,1,59.1786,2778,1440:1920
../img_brisk_dataset/IMAGE 2020-10-04 22:12:29.jpg,0,0,35,720:960
../img_brisk_dataset/IMAGE 2020-10-05 19:06:51.jpg,0.733333,67.7273,913,960:1280
../img_brisk_dataset/IMAGE 2020-10-04 21:57:35.jpg,1,87.32,62,1600:1200
../img_brisk_dataset/IMAGE 2020-10-05 19:07:01.jpg,0,0,48,1440:1920
../img_brisk_dataset/IMAGE 2020-10-05 18:44:13.jpg,0,0,56,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:43:27.jpg,0.825,73.7879,374,720:960
../img_brisk_dataset/imagfdfhfh.jpg,1,58.5315,73,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 21:05:28.jpg,0.995098,69.4483,94,1600:1200
../img_brisk_dataset/IMAGE 2020-10-04 22:12:38.jpg,0,0,96,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 21:57:34.jpg,0.888889,86.125,18,640:480
../img_brisk_dataset/IMAGE 2020-10-05 19:06:54.jpg,0.925926,74.2,469,720:960
../img_brisk_dataset/IMAGE 2020-10-04 22:12:06.jpg,0,0,49,1280:960
../img_brisk_dataset/IMAGE 2020-10-04 22:12:12.jpg,0.606061,82.9,98,1200:1600
../img_brisk_dataset/Image.jpg,0.938462,72.1803,179,1920:1440
../img_brisk_dataset/IMAGE 2020-10-05 18:37:15.jpg,0,0,33,640:480
../img_brisk_dataset/IMAGE 2020-10-05 18:43:18.jpg,0.911765,71.4194,89,960:720
../img_brisk_dataset/IMAGE 2020-10-05 18:44:11.jpg,0,0,281,1280:960
../img_brisk_dataset/IMAGE 2020-10-05 18:43:24.jpg,0.925373,66.0323,487,1200:1600
../img_brisk_dataset/IMAGE 2020-10-05 18:37:14.jpg,0.862745,78.2955,83,1920:1440
../img_brisk_dataset/IMAGE 2020-10-04 22:12:13.jpg,0,0,38,480:640
../img_brisk_dataset/IMAGE 2020-10-04 21:57:37.jpg,1,88.35,59,960:720
../img_brisk_dataset/IMAGE 2020-10-05 19:06:57.jpg,0,0,794,960:1280
../img_brisk_dataset/IMAGE 2020-10-04 22:11:56.jpg,0.8,85.35,46,1600:1200
