Image_name, Correct features, Localization error, Time (ms), Size
../images/surf_dataset/scene_44.jpeg,0,0,190,638:478
../images/surf_dataset/scene_45.jpeg,0,0,1766,717:957
../images/surf_dataset/scene_12.jpeg,0.987097,70.7059,840,1276:956
../images/surf_dataset/scene_53.jpeg,1,75.9805,729,1595:1195
../images/surf_dataset/scene_28.jpeg,0.259259,118.429,264,1434:1914
../images/surf_dataset/scene_90.jpeg,0.946667,73.8592,348,638:478
../images/surf_dataset/scene_69.jpeg,0,0,3715,957:717
../images/surf_dataset/scene_86.jpeg,0.978495,76.9286,537,956:1276
../images/surf_dataset/scene_49.jpeg,0,0,271,652:761
../images/surf_dataset/scene_24.jpeg,0.950495,81.3021,1667,1914:1434
../images/surf_dataset/scene_73.jpeg,0,0,501,957:717
../images/surf_dataset/scene_65.jpeg,0.974684,72.6299,1179,1276:956
../images/surf_dataset/scene_103.jpeg,0.979381,90.0842,437,1195:1595
